每天	每天	mei3tian1	every day; daily
每每	每每	mei3mei3	often
海	海	hai3	ocean; sea
海边	海邊	hai3bian1	seaside
上海	上海	Shang4hai3	Shanghai, China
用	用	yong4	to use (Kangxi radical 101)
不用	不用	bu2yong4	need not; no need for...
有用	有用	you3yong4	useful
半	半	ban4	half; semi-; incomplete
半天	半天	ban4tian1	half a day; a long time
多半	多半	duo1ban4	for the most part; mostly; most likely
利	利	li4	advantage; benefit; profit; sharp
利用	利用	li4yong4	make use of; exploit; take advantage of
有力	有力	you3li4	powerful; forceful; vigorous
生	生	sheng1	to be born; to give birth; to start (a fire); to grow; to be afflicted with; raw; uncooked; life; student (Kangxi radical 100)
生日	生日	sheng1ri4	birthday
出生	出生	chu1sheng1	be born
学生	學生	xue2sheng1	student
女生	女生	nv3sheng1	female student; schoolgirl; girl
胜	勝	sheng4	victorious; success; to win; to beat
胜利	勝利	sheng4li4	victory; triumph
名胜	名勝	ming2sheng4	a place famous for its scenery or historical relics; well-known scenic spot
姓	姓	xing4	surname; family name
姓名	姓名	xing4ming2	full name
星	星	xing1	star; heavenly body; satellite; small amount
星星	星星	xing1xing5	star; (also -xīng: speck)
明星	明星	ming2xing1	(movie, etc.) star; celebrity
先	先	xian1	first; early; before
先生	先生	xian1sheng5	Mr.; Sir; husband
告	告	gao4	to tell; inform; to say
告别	告別	gao4bie2	say goodbye; take leave
洗	洗	xi3	to wash; bathe
干洗	乾洗	gan1xi3	to dry-clean
可	可	ke3	can; may; able to; but; approve; very
可以	可以	ke3yi3	can; may; possible; okay
可是	可是	ke3shi4	but; however; (used for emphasis) indeed/really
河	河	he2	river
运河	運河	yun4he2	canal
星河	星河	xing1he2	galaxy
何	何	he2	why; what; how; where; which
啊	啊	a1, a2, a3, a4, a5	ah; (particle showing elation, doubt, puzzled surprise, or approval)
首	首	shou3	head; chief; first; (mw for poems and songs) (Kangxi radical 185)
首先	首先	shou3xian1	first (of all); in the first place; firstly
道	道	dao4	way; direction; method; road; Dao(ism); MW for long thin things (rivers)
